network,batch size,best_timestep,minimum,count_before_best,total_count
2,2,1.0,48.4,1.0,23.0
2,5,41.0,44.32,23.0,23.0
2,10,25.0,47.54,17.0,24.0
5,2,9.0,48.4,5.0,21.0
5,5,12.0,47.54,8.0,26.0
5,10,26.0,47.54,15.0,23.0
