network,batch size,best_timestep,minimum,count_before_best,total_count
2,2,17.0,44.32,15.0,27.0
2,5,17.0,44.32,15.0,29.0
2,10,30.0,44.32,24.0,31.0
5,2,3.0,44.32,3.0,25.0
5,5,3.0,44.32,3.0,27.0
5,10,3.0,44.32,3.0,29.0
