network,batch size,best_timestep,minimum,count_before_best,total_count
2,2,6.0,44.32,6.0,45.0
2,5,6.0,44.32,6.0,45.0
2,10,6.0,44.32,6.0,44.0
5,2,3.0,44.32,3.0,38.0
5,5,3.0,44.32,3.0,33.0
5,10,3.0,44.32,3.0,35.0
