network,batch size,best_timestep,minimum,count_before_best,total_count
2,2,30.0,47.54,26.0,37.0
2,5,10.0,50.27,9.0,46.0
2,10,10.0,50.27,9.0,45.0
5,2,3.0,65.14,3.0,45.0
5,5,30.0,47.54,26.0,37.0
5,10,38.0,50.27,36.0,47.0
