network,batch size,best_timestep,minimum,count_before_best,total_count
2,2,9.0,45.19,9.0,39.0
2,5,9.0,45.19,9.0,39.0
2,10,9.0,45.19,9.0,39.0
5,2,12.0,45.19,11.0,28.0
5,5,47.0,45.19,35.0,35.0
5,10,12.0,45.19,11.0,39.0
